document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
103,240,1,1,1,1,1,29,1,track,session,0.8,3
150,0,0,0,0,-1,4,56,1,track,session,0.8,3
151,266,0,0,1,8,7,52,1,track,session,0.8,3
200,146,0,0,0,-1,0,9,1,track,session,0.8,3
201,146,0,0,0,-1,0,6,1,track,session,0.8,3
217,146,0,0,0,-1,0,4,1,track,session,0.8,3
248,99,0,0,0,-1,1,11,1,track,session,0.8,3
274,146,0,0,0,-1,0,33,1,track,session,0.8,3
275,146,0,0,0,-1,0,6,1,track,session,0.8,3
336,146,0,0,0,-1,0,7,1,track,session,0.8,3
337,146,0,0,0,-1,0,16,1,track,session,0.8,3
338,146,0,0,0,-1,0,5,1,track,session,0.8,3
400,0,0,0,0,-1,4,26,1,track,session,0.8,3
401,146,0,0,0,-1,0,7,1,track,session,0.8,3
403,146,0,0,0,-1,0,6,1,track,session,0.8,3
406,146,0,0,0,-1,0,9,1,track,session,0.8,3
407,146,0,0,0,-1,0,7,1,track,session,0.8,3
435,146,0,0,0,-1,0,4,1,track,session,0.8,3
557,232,0,0,0,-1,2,22,1,track,session,0.8,3
558,102,0,0,0,-1,5,77,1,track,session,0.8,3
559,146,0,0,0,-1,0,30,1,track,session,0.8,3
560,146,0,0,0,-1,0,8,1,track,session,0.8,3
561,146,0,0,0,-1,0,28,1,track,session,0.8,3
562,276,0,0,0,-1,2,26,1,track,session,0.8,3
563,193,0,0,0,-1,5,74,1,track,session,0.8,3
565,146,0,0,0,-1,0,12,1,track,session,0.8,3
566,141,0,0,0,-1,1,32,1,track,session,0.8,3
567,146,0,0,0,-1,0,14,1,track,session,0.8,3
568,230,0,0,0,-1,5,94,1,track,session,0.8,3
569,146,0,0,0,-1,0,17,1,track,session,0.8,3
570,301,0,0,0,-1,1,34,1,track,session,0.8,3
571,146,0,0,0,-1,0,13,1,track,session,0.8,3
573,146,0,0,0,-1,0,16,1,track,session,0.8,3
574,320,0,0,0,-1,1,18,1,track,session,0.8,3
575,146,0,0,0,-1,0,8,1,track,session,0.8,3
576,146,0,0,0,-1,0,15,1,track,session,0.8,3
577,76,0,0,0,-1,7,87,1,track,session,0.8,3
578,146,0,0,0,-1,0,27,1,track,session,0.8,3
579,324,0,0,0,-1,7,71,1,track,session,0.8,3
580,146,0,0,0,-1,0,41,1,track,session,0.8,3
583,146,0,0,0,-1,0,11,1,track,session,0.8,3
584,314,0,0,0,-1,6,41,1,track,session,0.8,3
585,55,0,0,0,-1,1,36,1,track,session,0.8,3
587,146,0,0,0,-1,0,15,1,track,session,0.8,3
588,146,0,0,0,-1,0,8,1,track,session,0.8,3
589,327,0,0,0,-1,8,72,1,track,session,0.8,3
625,146,0,0,0,-1,0,5,1,track,session,0.8,3
627,146,0,0,0,-1,0,19,1,track,session,0.8,3
628,146,0,0,0,-1,0,21,1,track,session,0.8,3
629,146,0,0,0,-1,0,23,1,track,session,0.8,3
630,146,0,0,0,-1,0,12,1,track,session,0.8,3
633,146,0,0,0,-1,0,5,1,track,session,0.8,3
634,88,0,0,0,-1,6,62,1,track,session,0.8,3
635,146,0,0,0,-1,0,48,1,track,session,0.8,3
636,146,0,0,0,-1,0,16,1,track,session,0.8,3
637,146,0,0,0,-1,0,8,1,track,session,0.8,3
638,146,0,0,0,-1,0,21,1,track,session,0.8,3
639,146,0,0,0,-1,0,12,1,track,session,0.8,3
641,146,0,0,0,-1,0,14,1,track,session,0.8,3
642,146,0,0,0,-1,0,15,1,track,session,0.8,3
700,26,0,1,1,2,2,15,1,track,session,0.8,3
726,146,0,0,0,-1,0,24,1,track,session,0.8,3
727,146,0,0,0,-1,0,57,1,track,session,0.8,3
849,515,0,0,0,-1,8,68,1,track,session,0.8,3
851,146,0,0,0,-1,0,8,1,track,session,0.8,3
852,0,0,0,0,-1,3,38,1,track,session,0.8,3
854,0,0,0,0,-1,4,44,1,track,session,0.8,3
856,146,0,0,0,-1,0,5,1,track,session,0.8,3
857,29,0,0,0,-1,2,22,1,track,session,0.8,3
858,243,0,0,0,-1,1,14,1,track,session,0.8,3
860,146,0,0,0,-1,0,18,1,track,session,0.8,3
863,226,0,0,0,-1,1,15,1,track,session,0.8,3
866,14,0,0,0,-1,5,46,1,track,session,0.8,3
867,146,0,0,0,-1,0,12,1,track,session,0.8,3
870,258,0,0,0,-1,3,30,1,track,session,0.8,3
876,146,0,0,0,-1,0,12,1,track,session,0.8,3
878,146,0,0,0,-1,0,35,1,track,session,0.8,3
886,146,0,0,0,-1,0,19,1,track,session,0.8,3
887,318,0,0,0,-1,4,52,1,track,session,0.8,3
888,146,0,0,0,-1,0,8,1,track,session,0.8,3
889,39,0,0,0,-1,1,41,1,track,session,0.8,3
890,146,0,0,0,-1,0,50,1,track,session,0.8,3
891,146,0,0,0,-1,0,21,1,track,session,0.8,3
929,38,0,0,0,-1,1,26,1,track,session,0.8,3
968,146,0,0,0,-1,0,12,1,track,session,0.8,3
1100,146,0,0,0,-1,0,19,1,track,session,0.8,3
1104,127,0,0,1,9,2,18,1,track,session,0.8,3
1105,71,0,0,0,-1,5,40,1,track,session,0.8,3
1106,25,0,1,1,2,2,22,1,track,session,0.8,3
1183,146,0,0,0,-1,0,25,1,track,session,0.8,3
1188,146,0,0,0,-1,0,22,1,track,session,0.8,3
1237,146,0,0,0,-1,0,6,1,track,session,0.8,3
1238,290,0,0,0,-1,2,15,1,track,session,0.8,3
1240,146,0,0,0,-1,0,9,1,track,session,0.8,3
1268,83,1,1,1,1,1,57,1,track,session,0.8,3
1284,0,0,0,0,-1,2,33,1,track,session,0.8,3
1285,146,0,0,0,-1,0,18,1,track,session,0.8,3
1287,91,1,1,1,1,1,14,1,track,session,0.8,3
1288,41,0,0,0,-1,3,32,1,track,session,0.8,3
1337,146,0,0,0,-1,0,9,1,track,session,0.8,3
1338,146,0,0,0,-1,0,8,1,track,session,0.8,3
1416,146,0,0,0,-1,0,11,1,track,session,0.8,3
1417,225,0,0,0,14,2,36,1,track,session,0.8,3
1424,0,0,0,0,-1,1,11,1,track,session,0.8,3
1426,146,0,0,0,-1,0,18,1,track,session,0.8,3
1453,10,0,0,0,-1,1,71,1,track,session,0.8,3
1512,146,0,0,0,-1,0,7,1,track,session,0.8,3
1664,146,0,0,0,-1,0,10,1,track,session,0.8,3
1666,146,0,0,0,-1,0,19,1,track,session,0.8,3
1669,146,0,0,0,-1,0,5,1,track,session,0.8,3
1670,185,0,0,0,-1,2,29,1,track,session,0.8,3
1671,146,0,0,0,-1,0,24,1,track,session,0.8,3
1674,146,0,0,0,-1,0,11,1,track,session,0.8,3
1675,154,0,0,0,-1,4,46,1,track,session,0.8,3
1677,146,0,0,0,-1,0,7,1,track,session,0.8,3
1679,281,0,0,0,-1,4,49,1,track,session,0.8,3
1680,146,0,0,0,-1,0,14,1,track,session,0.8,3
1788,146,0,0,0,-1,0,4,1,track,session,0.8,3
1789,146,0,0,0,-1,0,6,1,track,session,0.8,3
1792,146,0,0,0,-1,0,11,1,track,session,0.8,3
1798,146,0,0,0,-1,0,18,1,track,session,0.8,3
1805,146,0,0,0,-1,0,4,1,track,session,0.8,3
1806,146,0,0,0,-1,0,9,1,track,session,0.8,3
1866,146,0,0,0,-1,0,35,1,track,session,0.8,3
1868,146,0,0,0,-1,0,13,1,track,session,0.8,3
1870,146,0,0,0,-1,0,30,1,track,session,0.8,3
1872,146,0,0,0,-1,0,20,1,track,session,0.8,3
1875,146,0,0,0,-1,0,5,1,track,session,0.8,3
1943,146,0,0,0,-1,0,14,1,track,session,0.8,3
1944,146,0,0,0,-1,0,18,1,track,session,0.8,3
2042,229,0,0,0,-1,3,48,1,track,session,0.8,3
2050,146,0,0,0,-1,0,42,1,track,session,0.8,3
2150,146,0,0,0,-1,0,5,1,track,session,0.8,3
2151,146,0,0,0,-1,0,30,1,track,session,0.8,3
2159,146,0,0,0,-1,0,7,1,track,session,0.8,3
2290,0,0,0,0,-1,2,16,1,track,session,0.8,3
2292,0,0,0,0,-1,2,16,1,track,session,0.8,3
2301,146,0,0,0,-1,0,5,1,track,session,0.8,3
2303,63,0,0,0,-1,1,10,1,track,session,0.8,3
2312,146,0,0,0,-1,0,35,1,track,session,0.8,3
2395,146,0,0,0,-1,0,18,1,track,session,0.8,3
2396,146,0,0,0,-1,0,35,1,track,session,0.8,3
2405,363,0,0,0,-1,1,12,1,track,session,0.8,3
2416,146,0,0,0,-1,0,5,1,track,session,0.8,3
2418,146,0,0,0,-1,0,75,1,track,session,0.8,3
2447,146,0,0,0,-1,0,11,1,track,session,0.8,3
2524,146,0,0,0,-1,0,61,1,track,session,0.8,3
2525,0,0,0,0,-1,8,44,1,track,session,0.8,3
2527,146,0,0,0,-1,0,11,1,track,session,0.8,3
2529,146,0,0,0,-1,0,14,1,track,session,0.8,3
2530,146,0,0,0,-1,0,7,1,track,session,0.8,3
2532,146,0,0,0,-1,0,22,1,track,session,0.8,3
2533,146,0,0,0,-1,0,25,1,track,session,0.8,3
2656,211,0,0,0,-1,2,37,1,track,session,0.8,3
2658,170,0,0,0,-1,3,37,1,track,session,0.8,3
2660,276,0,0,0,-1,2,19,1,track,session,0.8,3
2662,318,0,0,0,-1,1,14,1,track,session,0.8,3
2835,146,0,0,0,-1,0,23,1,track,session,0.8,3
2842,146,0,0,0,-1,0,35,1,track,session,0.8,3
2906,43,1,1,1,1,8,47,1,track,session,0.8,3
2907,146,0,0,0,-1,0,4,1,track,session,0.8,3
2908,146,0,0,0,-1,0,18,1,track,session,0.8,3
2911,146,0,0,0,-1,0,29,1,track,session,0.8,3
2932,71,1,1,1,1,1,14,1,track,session,0.8,3
2933,146,0,0,0,-1,0,18,1,track,session,0.8,3
2934,146,0,0,0,-1,0,8,1,track,session,0.8,3
2935,191,0,0,0,-1,8,61,1,track,session,0.8,3
2937,146,0,0,0,-1,0,24,1,track,session,0.8,3
2938,380,0,0,0,-1,6,37,1,track,session,0.8,3
2949,85,0,0,0,13,2,16,1,track,session,0.8,3
2950,34,0,0,0,-1,1,13,1,track,session,0.8,3
2981,146,0,0,0,-1,0,17,1,track,session,0.8,3
2982,146,0,0,0,-1,0,12,1,track,session,0.8,3
3123,0,0,0,0,-1,1,10,1,track,session,0.8,3
3233,146,0,0,0,-1,0,8,1,track,session,0.8,3
3235,146,0,0,0,-1,0,8,1,track,session,0.8,3
3238,137,0,0,0,65,3,30,1,track,session,0.8,3
3239,146,0,0,0,-1,0,5,1,track,session,0.8,3
3245,146,0,0,0,-1,0,31,1,track,session,0.8,3
3257,146,0,0,0,-1,0,6,1,track,session,0.8,3
3281,146,0,0,0,-1,0,13,1,track,session,0.8,3
3283,146,0,0,0,-1,0,10,1,track,session,0.8,3
3284,146,0,0,0,-1,0,12,1,track,session,0.8,3
3354,136,0,0,0,-1,1,21,1,track,session,0.8,3
3386,146,0,0,0,-1,0,13,1,track,session,0.8,3
3387,133,0,0,0,-1,4,29,1,track,session,0.8,3
3389,130,0,0,0,-1,6,40,1,track,session,0.8,3
3470,146,0,0,0,-1,0,8,1,track,session,0.8,3
3535,146,0,0,0,-1,0,69,1,track,session,0.8,3
3536,146,0,0,0,-1,0,34,1,track,session,0.8,3
3537,306,0,0,0,-1,1,35,1,track,session,0.8,3
3538,268,0,0,0,-1,3,74,1,track,session,0.8,3
3539,279,0,0,0,-1,3,87,1,track,session,0.8,3
3540,146,0,0,0,-1,0,7,1,track,session,0.8,3
3543,315,0,0,0,-1,2,72,1,track,session,0.8,3
3544,146,0,0,0,-1,0,31,1,track,session,0.8,3
3546,146,0,0,0,-1,0,67,1,track,session,0.8,3
3547,9,0,0,0,-1,2,85,1,track,session,0.8,3
3548,146,0,0,0,-1,0,15,1,track,session,0.8,3
3549,146,0,0,0,-1,0,18,1,track,session,0.8,3
3550,318,0,0,0,-1,1,72,1,track,session,0.8,3
3718,146,0,0,0,-1,0,19,1,track,session,0.8,3
3721,155,0,0,0,-1,1,16,1,track,session,0.8,3
3722,146,0,0,0,-1,0,53,1,track,session,0.8,3
3725,109,0,0,0,-1,1,36,1,track,session,0.8,3
3726,72,0,0,0,-1,1,37,1,track,session,0.8,3
3728,146,0,0,0,-1,0,7,1,track,session,0.8,3
3730,146,0,0,0,-1,0,4,1,track,session,0.8,3
3732,146,0,0,0,-1,0,37,1,track,session,0.8,3
3733,392,0,0,0,-1,1,48,1,track,session,0.8,3
3783,146,0,0,0,-1,0,16,1,track,session,0.8,3
3784,146,0,0,0,-1,0,7,1,track,session,0.8,3
3787,146,0,0,0,-1,0,25,1,track,session,0.8,3
3790,140,0,0,0,-1,3,52,1,track,session,0.8,3
3792,0,0,0,0,-1,1,24,1,track,session,0.8,3
3793,146,0,0,0,-1,0,41,1,track,session,0.8,3
3794,146,0,0,0,-1,0,17,1,track,session,0.8,3
