document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
10081,601,0,0,0,-1,0,20,1,track,user,0.8,4
1006640,601,0,0,0,-1,0,10,1,track,user,0.8,4
1041908,601,0,0,0,-1,0,9,1,track,user,0.8,4
1047729,0,0,0,0,-1,1,16,1,track,user,0.8,4
2059685,146,0,0,0,18,3,86,1,track,user,0.8,4
2065460,326,1,1,1,1,10,70,1,track,user,0.8,4
2065883,601,0,0,0,-1,0,4,1,track,user,0.8,4
2066535,81,0,0,0,-1,7,52,1,track,user,0.8,4
2066761,601,0,0,0,-1,0,10,1,track,user,0.8,4
2089648,553,0,0,0,-1,5,47,1,track,user,0.8,4
2090851,601,0,0,0,-1,0,23,1,track,user,0.8,4
2102912,601,0,0,0,-1,0,38,1,track,user,0.8,4
2115322,601,0,0,0,-1,0,52,1,track,user,0.8,4
2146029,601,0,0,0,-1,0,34,1,track,user,0.8,4
2165224,44,0,0,0,-1,2,20,1,track,user,0.8,4
2198623,592,0,0,0,47,11,87,1,track,user,0.8,4
2302165,162,0,0,0,-1,2,25,1,track,user,0.8,4
2305062,88,0,0,0,-1,1,59,1,track,user,0.8,4
2332588,601,0,0,0,-1,0,4,1,track,user,0.8,4
2333340,601,0,0,0,-1,0,36,1,track,user,0.8,4
2358595,480,0,0,0,-1,6,64,1,track,user,0.8,4
2375646,0,0,0,0,-1,4,38,1,track,user,0.8,4
2397398,299,0,0,0,-1,12,74,1,track,user,0.8,4
2406271,263,0,0,0,-1,1,19,1,track,user,0.8,4
2426673,89,0,0,0,-1,2,25,1,track,user,0.8,4
2449652,416,1,1,1,1,5,76,1,track,user,0.8,4
2472606,601,0,0,0,-1,0,86,1,track,user,0.8,4
2476658,565,0,0,0,-1,8,53,1,track,user,0.8,4
2483177,601,0,0,0,-1,0,36,1,track,user,0.8,4
2538364,601,0,0,0,-1,0,91,1,track,user,0.8,4
2551211,601,0,0,0,-1,0,3,1,track,user,0.8,4
2584562,0,0,0,0,-1,6,41,1,track,user,0.8,4
2590118,601,0,0,0,-1,0,5,1,track,user,0.8,4
2613453,284,0,0,0,-1,8,61,1,track,user,0.8,4
2621840,601,0,0,0,-1,0,3,1,track,user,0.8,4
2635538,288,0,0,0,-1,6,52,1,track,user,0.8,4
2642245,601,0,0,0,-1,0,15,1,track,user,0.8,4
2699847,601,0,0,0,-1,0,21,1,track,user,0.8,4
2732566,337,0,0,0,179,2,48,1,track,user,0.8,4
2765086,0,0,0,0,-1,10,80,1,track,user,0.8,4
2772492,236,0,0,0,-1,1,14,1,track,user,0.8,4
2774772,159,0,0,0,-1,1,17,1,track,user,0.8,4
2786423,601,0,0,0,-1,0,3,1,track,user,0.8,4
2787461,56,0,0,0,-1,8,68,1,track,user,0.8,4
2842314,114,0,0,0,-1,14,88,1,track,user,0.8,4
2861388,601,0,0,0,-1,0,11,1,track,user,0.8,4
2876694,601,0,0,0,-1,0,6,1,track,user,0.8,4
2881480,592,0,0,0,-1,9,93,1,track,user,0.8,4
2890989,261,0,0,0,-1,3,31,1,track,user,0.8,4
2894921,601,0,0,0,-1,0,13,1,track,user,0.8,4
2916218,290,0,0,0,-1,6,52,1,track,user,0.8,4
2926375,601,0,0,0,-1,0,6,1,track,user,0.8,4
2992404,601,0,0,0,-1,0,18,1,track,user,0.8,4
3014648,164,0,0,0,-1,11,66,1,track,user,0.8,4
3021473,0,0,0,0,-1,8,59,1,track,user,0.8,4
3035599,67,0,0,0,-1,5,50,1,track,user,0.8,4
3039758,150,0,0,0,-1,2,22,1,track,user,0.8,4
3054604,92,0,0,0,-1,3,37,1,track,user,0.8,4
3059193,505,1,1,1,1,7,59,1,track,user,0.8,4
3069452,601,0,0,0,-1,0,22,1,track,user,0.8,4
3090210,628,0,0,0,541,2,22,1,track,user,0.8,4
3094961,182,0,0,0,-1,1,14,1,track,user,0.8,4
3100927,601,0,0,0,-1,0,22,1,track,user,0.8,4
3109435,601,0,0,0,-1,0,6,1,track,user,0.8,4
3112672,601,0,0,0,-1,0,29,1,track,user,0.8,4
3138654,601,0,0,0,-1,0,24,1,track,user,0.8,4
3151737,109,0,0,0,-1,7,48,1,track,user,0.8,4
3170116,601,0,0,0,-1,0,6,1,track,user,0.8,4
3182473,601,0,0,0,-1,0,46,1,track,user,0.8,4
3186656,165,0,0,0,-1,1,32,1,track,user,0.8,4
3187328,535,0,0,0,-1,15,87,1,track,user,0.8,4
3207133,571,0,0,0,66,5,90,1,track,user,0.8,4
3210599,601,0,0,0,-1,0,11,1,track,user,0.8,4
3236362,601,0,0,0,-1,0,5,1,track,user,0.8,4
3256864,601,0,0,0,-1,0,15,1,track,user,0.8,4
3259105,456,0,0,0,-1,12,76,1,track,user,0.8,4
3264447,601,0,0,0,-1,0,5,1,track,user,0.8,4
3292435,83,0,0,0,-1,4,29,1,track,user,0.8,4
3322129,169,0,0,0,-1,2,40,1,track,user,0.8,4
3337883,82,0,0,0,-1,2,26,1,track,user,0.8,4
3344910,601,0,0,0,-1,0,5,1,track,user,0.8,4
3349211,601,0,0,0,-1,0,7,1,track,user,0.8,4
3362782,601,0,0,0,-1,0,15,1,track,user,0.8,4
3372213,437,0,0,0,-1,8,76,1,track,user,0.8,4
3406979,20,0,0,0,-1,1,22,1,track,user,0.8,4
3410414,0,0,0,0,-1,1,22,1,track,user,0.8,4
3422287,325,1,1,1,1,3,33,1,track,user,0.8,4
3430090,244,0,0,0,-1,9,71,1,track,user,0.8,4
3434572,601,0,0,0,-1,0,5,1,track,user,0.8,4
3437563,47,0,0,0,-1,5,37,1,track,user,0.8,4
3450056,601,0,0,0,-1,0,12,1,track,user,0.8,4
3456803,448,1,1,1,1,12,76,1,track,user,0.8,4
3463705,141,0,0,0,-1,2,20,1,track,user,0.8,4
3518544,41,0,0,0,12,2,33,1,track,user,0.8,4
3521837,222,0,0,0,-1,3,25,1,track,user,0.8,4
3532919,0,0,0,0,-1,3,27,1,track,user,0.8,4
3549336,601,0,0,0,-1,0,58,1,track,user,0.8,4
3555461,601,0,0,0,-1,0,4,1,track,user,0.8,4
3563219,354,0,0,0,-1,7,51,1,track,user,0.8,4
3566051,451,0,0,0,-1,8,61,1,track,user,0.8,4
3577947,497,0,0,0,-1,12,86,1,track,user,0.8,4
3606142,601,0,0,0,-1,0,11,1,track,user,0.8,4
3607102,601,0,0,0,-1,0,7,1,track,user,0.8,4
3607817,44,0,0,0,-1,11,68,1,track,user,0.8,4
3624946,601,0,0,0,-1,0,3,1,track,user,0.8,4
3626996,601,0,0,0,-1,0,19,1,track,user,0.8,4
3633522,601,0,0,0,-1,0,80,1,track,user,0.8,4
3666082,0,0,0,0,-1,5,34,1,track,user,0.8,4
3670387,0,0,0,0,-1,1,49,1,track,user,0.8,4
3680033,601,0,0,0,-1,0,11,1,track,user,0.8,4
3681484,601,0,0,0,-1,0,24,1,track,user,0.8,4
3700732,0,0,0,0,-1,5,37,1,track,user,0.8,4
3703087,0,0,0,0,-1,4,37,1,track,user,0.8,4
3716638,0,0,0,0,-1,12,78,1,track,user,0.8,4
3753893,601,0,0,0,-1,0,18,1,track,user,0.8,4
3773909,0,0,0,0,-1,2,20,1,track,user,0.8,4
3778928,601,0,0,0,-1,0,43,1,track,user,0.8,4
3810699,601,0,0,0,-1,0,14,1,track,user,0.8,4
3816087,601,0,0,0,-1,0,41,1,track,user,0.8,4
3863296,483,0,0,0,-1,5,45,1,track,user,0.8,4
3873664,601,0,0,0,-1,0,22,1,track,user,0.8,4
3877081,601,0,0,0,-1,0,7,1,track,user,0.8,4
